,Classifier,Classification report
0,Ridge Classifier,"              precision    recall  f1-score   support

           0       0.83      0.81      0.82      8013
           1       0.81      0.84      0.82      7954

    accuracy                           0.82     15967
   macro avg       0.82      0.82      0.82     15967
weighted avg       0.82      0.82      0.82     15967
"
1,Logistic Regression,"              precision    recall  f1-score   support

           0       0.83      0.82      0.82      8013
           1       0.82      0.83      0.82      7954

    accuracy                           0.82     15967
   macro avg       0.82      0.82      0.82     15967
weighted avg       0.82      0.82      0.82     15967
"
2,Perceptron,"              precision    recall  f1-score   support

           0       0.77      0.76      0.76      8013
           1       0.76      0.76      0.76      7954

    accuracy                           0.76     15967
   macro avg       0.76      0.76      0.76     15967
weighted avg       0.76      0.76      0.76     15967
"
3,Passive-Agressive Classifier,"              precision    recall  f1-score   support

           0       0.81      0.79      0.80      8013
           1       0.79      0.81      0.80      7954

    accuracy                           0.80     15967
   macro avg       0.80      0.80      0.80     15967
weighted avg       0.80      0.80      0.80     15967
"
4,Stochastic Gradient Descent,"              precision    recall  f1-score   support

           0       0.80      0.77      0.78      8013
           1       0.78      0.80      0.79      7954

    accuracy                           0.79     15967
   macro avg       0.79      0.79      0.79     15967
weighted avg       0.79      0.79      0.79     15967
"
5,LinearSVC,"              precision    recall  f1-score   support

           0       0.82      0.83      0.83      8013
           1       0.83      0.81      0.82      7954

    accuracy                           0.82     15967
   macro avg       0.82      0.82      0.82     15967
weighted avg       0.82      0.82      0.82     15967
"
6,L1 based LinearSVC,"              precision    recall  f1-score   support

           0       0.82      0.83      0.82      8013
           1       0.82      0.82      0.82      7954

    accuracy                           0.82     15967
   macro avg       0.82      0.82      0.82     15967
weighted avg       0.82      0.82      0.82     15967
"
7,KNN,"              precision    recall  f1-score   support

           0       0.69      0.45      0.55      8013
           1       0.59      0.80      0.68      7954

    accuracy                           0.63     15967
   macro avg       0.64      0.63      0.61     15967
weighted avg       0.64      0.63      0.61     15967
"
8,Nearest Centroid,"              precision    recall  f1-score   support

           0       0.72      0.74      0.73      8013
           1       0.73      0.71      0.72      7954

    accuracy                           0.73     15967
   macro avg       0.73      0.73      0.73     15967
weighted avg       0.73      0.73      0.73     15967
"
9,Multinomial NB,"              precision    recall  f1-score   support

           0       0.80      0.81      0.80      8013
           1       0.81      0.79      0.80      7954

    accuracy                           0.80     15967
   macro avg       0.80      0.80      0.80     15967
weighted avg       0.80      0.80      0.80     15967
"
10,Bernoulli NB,"              precision    recall  f1-score   support

           0       0.81      0.78      0.80      8013
           1       0.79      0.81      0.80      7954

    accuracy                           0.80     15967
   macro avg       0.80      0.80      0.80     15967
weighted avg       0.80      0.80      0.80     15967
"
11,Adaboost,"              precision    recall  f1-score   support

           0       0.75      0.62      0.68      8013
           1       0.67      0.79      0.72      7954

    accuracy                           0.70     15967
   macro avg       0.71      0.70      0.70     15967
weighted avg       0.71      0.70      0.70     15967
"
