,Classifier,Accuracy,Time,Classification report
0,Ridge Classifier,0.8185632867789816,583.4382700920105,"              precision    recall  f1-score   support

           0       0.83      0.80      0.82      8013
           1       0.81      0.84      0.82      7954

    accuracy                           0.82     15967
   macro avg       0.82      0.82      0.82     15967
weighted avg       0.82      0.82      0.82     15967
"
1,Logistic Regression,0.8237615081104779,638.1882054805756,"              precision    recall  f1-score   support

           0       0.83      0.81      0.82      8013
           1       0.82      0.83      0.83      7954

    accuracy                           0.82     15967
   macro avg       0.82      0.82      0.82     15967
weighted avg       0.82      0.82      0.82     15967
"
2,Perceptron,0.757562472599737,188.86650681495667,"              precision    recall  f1-score   support

           0       0.77      0.73      0.75      8013
           1       0.74      0.78      0.76      7954

    accuracy                           0.76     15967
   macro avg       0.76      0.76      0.76     15967
weighted avg       0.76      0.76      0.76     15967
"
3,Passive-Agressive Classifier,0.7645769399386234,179.33936953544617,"              precision    recall  f1-score   support

           0       0.78      0.75      0.76      8013
           1       0.75      0.78      0.77      7954

    accuracy                           0.76     15967
   macro avg       0.76      0.76      0.76     15967
weighted avg       0.76      0.76      0.76     15967
"
4,Stochastic Gradient Descent,0.81361558213816,188.28239750862122,"              precision    recall  f1-score   support

           0       0.83      0.79      0.81      8013
           1       0.80      0.83      0.82      7954

    accuracy                           0.81     15967
   macro avg       0.81      0.81      0.81     15967
weighted avg       0.81      0.81      0.81     15967
"
5,LinearSVC,0.8213189703764013,825.3642501831055,"              precision    recall  f1-score   support

           0       0.84      0.80      0.82      8013
           1       0.81      0.84      0.82      7954

    accuracy                           0.82     15967
   macro avg       0.82      0.82      0.82     15967
weighted avg       0.82      0.82      0.82     15967
"
6,L1 based LinearSVC,0.8192522076783366,1051.5488085746765,"              precision    recall  f1-score   support

           0       0.84      0.79      0.82      8013
           1       0.80      0.84      0.82      7954

    accuracy                           0.82     15967
   macro avg       0.82      0.82      0.82     15967
weighted avg       0.82      0.82      0.82     15967
"
7,KNN,0.7187323855451869,8417.214273452759,"              precision    recall  f1-score   support

           0       0.75      0.66      0.70      8013
           1       0.69      0.78      0.73      7954

    accuracy                           0.72     15967
   macro avg       0.72      0.72      0.72     15967
weighted avg       0.72      0.72      0.72     15967
"
8,Nearest Centroid,0.6378154944573182,186.29500365257263,"              precision    recall  f1-score   support

           0       0.66      0.57      0.61      8013
           1       0.62      0.70      0.66      7954

    accuracy                           0.64     15967
   macro avg       0.64      0.64      0.64     15967
weighted avg       0.64      0.64      0.64     15967
"
9,Multinomial NB,0.7973319972443164,177.9259262084961,"              precision    recall  f1-score   support

           0       0.79      0.81      0.80      8013
           1       0.80      0.79      0.80      7954

    accuracy                           0.80     15967
   macro avg       0.80      0.80      0.80     15967
weighted avg       0.80      0.80      0.80     15967
"
10,Bernoulli NB,0.7937621344022046,171.88066267967224,"              precision    recall  f1-score   support

           0       0.81      0.77      0.79      8013
           1       0.78      0.82      0.80      7954

    accuracy                           0.79     15967
   macro avg       0.79      0.79      0.79     15967
weighted avg       0.79      0.79      0.79     15967
"
11,Adaboost,0.7023235423060061,3811.297168493271,"              precision    recall  f1-score   support

           0       0.74      0.62      0.68      8013
           1       0.67      0.78      0.72      7954

    accuracy                           0.70     15967
   macro avg       0.71      0.70      0.70     15967
weighted avg       0.71      0.70      0.70     15967
"
